time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
3456,0,340,60.25,4,-34.318231749999995,,,,,,,,
3461,0,570,57.625,8,-29.229552624999997,,,,,,,,
3537,0,800,59.416666666666664,12,-17.318452166666663,,,,,,,,
3560,0,1085,60.1875,16,-20.818748749999997,,,,,,,,
3590,0,1365,61.2,20,-20.498673899999996,,,,,,,,
3564,0,1585,60.583333333333336,24,-23.002877666666667,,,,,,,,
3556,0,1740,60.035714285714285,28,-22.96030775,,,,,,,,
3551,0,2005,59.5625,32,-25.896716562499996,,,,,,,,
3532,0,2305,60.44444444444444,36,-25.10067172222222,,,,,,,,
3525,0,2530,60.175,40,-25.065720125,,,,,,,,
3518,0,2740,59.72727272727273,44,-25.669090204545455,,,,,,,,
3509,0,2960,59.854166666666664,48,-26.92273858333333,,,,,,,,
3511,0,3215,59.65384615384615,52,-26.68943673076923,,,,,,,,
3504,0,3490,59.92857142857143,56,-26.365780767857142,,,,,,,,
3511,1,3745,59.65,60,-26.94954355,,,,,,,,
3533,1,4045,59.25,64,-27.7308465,,,,,,,,
3536,1,4135,60.161764705882355,68,-25.51548944117647,,,,,,,,
3532,1,4470,60.291666666666664,72,-24.85220475,,,,,,,,
3532,1,4725,60.42857142857143,76,-25.72650461038961,,,,,,,,
3538,1,4930,60.1625,80,-26.139786074999996,,,,,,,,
3533,1,5135,59.88095238095238,84,-26.2920331547619,,,,,,,,
3522,1,5350,59.72727272727273,88,-26.40040517045454,,,,,,,,
3527,1,5630,60.0,92,-25.685929358695653,,,,,,,,
3534,1,5865,59.770833333333336,96,-25.856412843749997,,,,,,,,
3528,1,6015,59.54,100,-26.174166089999993,,,,,,,,
3519,1,6310,59.51,104,-26.549357050000005,,,,,,,,
3521,1,6500,59.71,108,-25.33638,,,,,,,,
3523,1,6785,59.44,112,-26.036763929999996,,,,,,,,
3534,2,7075,59.23,116,-26.071901919999995,,,,,,,,
3546,2,7255,59.09,120,-27.072671419999995,,,,,,,,
3559,2,7430,58.89,124,-27.25169345,,,,,,,,
3573,2,7740,59.17,128,-27.518710860000002,,,,,,,,
3574,2,7995,59.53,132,-25.64939532,,,,,,,,
3575,2,8230,59.1,136,-26.417267940000002,,,,,,,,
3580,2,8475,58.97,140,-25.217755449999995,,,,,,,,
3584,2,8745,59.68,144,-23.511243840000002,,,,,,,,
3588,2,9005,59.52,148,-23.322866819999998,,,,,,,,
3589,2,9165,59.73,152,-23.524520759999994,,,,,,,,
3592,2,9400,59.37,156,-24.020704220000002,,,,,,,,
3593,2,9675,59.4,160,-23.30779906,,,,,,,,
3594,2,9790,59.65,164,-23.079123709999998,,,,,,,,
2811,3,10055,58.84,168,-25.333485139999997,50,-13.571348190307617,-0.2846014082431793,0.98597811460495,9.81677703857422,0.0003,,
1823,5,10300,58.37,172,-26.42271954,295,-19.898828125,-1.7663524389266967,0.9160640716552735,3.290986919403076,0.0003,,
1413,7,10515,58.16,176,-26.817502610000002,510,-24.39619598388672,-3.058618354797363,0.8588847398757935,3.8054205894470217,0.0003,,
1069,10,10835,58.48,180,-25.635764610000006,830,-30.974898910522462,-4.915467834472656,0.7806565880775451,3.1404081344604493,0.0003,,
957,11,10990,58.84,184,-25.045031700000003,985,-33.70977554321289,-5.780686664581299,0.745615553855896,2.806580066680908,0.0003,,
841,13,11220,58.68,188,-24.2238386,1215,-38.212258911132814,-7.055846881866455,0.6967372894287109,3.025575542449951,0.0003,,
752,15,11455,58.16,192,-24.867073289999997,1450,-41.605560302734375,-8.271966171264648,0.65032399892807,3.1300615787506105,0.0003,,
690,16,11665,58.2,196,-24.029125639999997,1660,-44.555946350097656,-9.391814422607421,0.6115692257881165,3.5611992359161375,0.0003,,
621,19,11935,58.19,200,-21.7982482,1930,-47.947924041748045,-10.801613426208496,0.5651720404624939,3.8458684921264648,0.0003,,
568,21,12230,58.48,204,-19.04463084,2225,-51.60531387329102,-12.228257942199708,0.5186012864112854,4.599161815643311,0.0003,,
534,23,12445,58.51,208,-18.438879989999997,2440,-53.11885452270508,-13.275272750854493,0.4872390329837799,5.302923202514648,0.0003,,
496,25,12725,59.11,212,-13.336613149999996,2720,-55.45132217407227,-14.526679229736327,0.44950934648513796,6.272946357727051,0.0003,,
469,27,12985,59.3,216,-11.895556359999999,2980,-58.37192611694336,-15.448120498657227,0.4172949314117432,6.740702533721924,0.0003,,
437,30,13325,60.3,220,-7.58770256,3320,-60.81459274291992,-16.34852867126465,0.37912395000457766,7.041005611419678,0.0003,,
414,32,13630,60.7,224,-2.7276067299999998,3625,-61.1514404296875,-17.077343368530272,0.34821116328239443,7.780450057983399,0.0003,,
395,35,13925,61.05,228,0.4983586800000003,3920,-63.06380920410156,-18.066210556030274,0.32116903066635133,8.967914390563966,0.0003,,
377,37,14220,61.55,232,1.919737849999999,4215,-64.7408821105957,-18.280863189697264,0.2962545692920685,8.475993156433105,0.0003,,
369,38,14380,62.01,236,7.141968879999999,4375,-62.83441696166992,-18.879458618164062,0.28378909826278687,9.684933853149413,0.0003,,
358,40,14610,62.18,240,10.77355364,4605,-64.57666778564453,-18.627231979370116,0.266907274723053,10.109896278381347,0.0003,,
346,42,14870,61.49,244,14.195244729999999,4865,-65.76363372802734,-19.557415390014647,0.24920048117637633,10.703302574157714,0.0003,,
336,45,15135,61.61,248,18.67561063,5130,-65.58005218505859,-19.18419990539551,0.2325896829366684,11.174673652648925,0.0003,,
