#{"t_start": 1783133905.572226, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_single,rc_air,rc_ctrl,rc_action_rate,rc_torque,rc_slide,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist,ep_pushes
-33.403912,52,1.217131,52.0,-47.03659375484684,15.175095123625317,16.556570285482753,0.15,-3.2999999999999994,-4.0530742275714875,-20.310931444168087,-7.888321499174367,-2.2552739345466426,-5.24101587894163,-25.432758289624683,-1.7676088036894404,-0.3662072455011201,-0.3808555353211649,0.0
-29.74185,47,1.285585,47.0,-35.721825036020455,11.956866219748331,13.443946846659466,0.6,-2.28,-3.8437925601005554,-19.744503355026247,-7.300783088932093,-2.419336472139234,-4.262600121914264,-25.658047273639106,-1.5117750737505793,-0.3026167739897332,-0.28445976755034924,0.0
-47.544887,56,1.359881,56.0,-65.10107074218217,14.112868472837482,16.340549555262662,0.0,-3.4699999999999993,-4.45789752960205,-22.306838485598565,-8.917761487985526,-2.496812286962727,-9.015433726119696,-16.366804854744984,-1.8656858645872487,-0.42759161553274494,-0.4789026093966744,0.0
15.009105,85,1.475657,85.0,-33.53252780974053,26.606565773311882,29.316610689799912,0.6,-4.319999999999999,-6.9249103045463585,-35.444431960582726,-12.904477053431894,-4.126759306049572,-2.560918440247194,-23.024611423002913,-3.6754351492484476,-0.1383361018337201,-0.23517137311732417,0.0
-24.647401,56,1.555579,56.0,-44.722711592630354,16.83949126010471,19.60223165490003,0.3,-2.7699999999999996,-4.217652647495271,-21.167374610900875,-8.574018223717074,-2.0497408734009555,-3.895665340863612,-27.796680448357105,-2.1952801428479285,-0.3332789981480566,-0.37327247792582346,0.0
-27.656484,52,1.629641,52.0,-38.67188794207181,14.218313557359139,17.352780417092422,0.15,-3.17,-4.0839447903633115,-18.202750623226166,-8.249475360022151,-2.1244329444737793,-4.641917398245953,-30.36930316288956,-1.863865414295706,-0.2976858194498055,-0.3095932522277977,0.0
-58.429131,53,1.704732,53.0,-56.41270980916213,12.579176451646436,15.722809193621641,0.3,-2.7199999999999998,-4.349838788509368,-20.453556263446814,-8.432671092247947,-2.2472190951399975,-7.297711383250506,-35.802149691401816,-2.315260222011287,-0.4325324583875651,-0.458484405890819,0.0
-50.567664,60,1.792757,60.0,-56.670500963234524,15.9417739234866,17.978992232206927,0.6,-4.41,-4.995963778495788,-24.13425831794739,-9.532124989479865,-3.1438102976886233,-7.567980482483722,-32.11897854195378,-2.514813173946961,-0.38882910414234134,-0.46659492497080957,0.0
-59.327828,72,1.896643,72.0,-68.82446673245076,20.573615583638084,23.625208467780087,0.6,-4.159999999999999,-5.911200757026673,-28.876465642452235,-11.152001990042487,-3.482052645543362,-9.234851218175342,-41.54345028103652,-2.9421629905920765,-0.36205921389524476,-0.5213652680091524,0.0
-39.502949,56,1.979679,56.0,-46.722321308588576,16.043508736759406,17.361354980601728,0.44999999999999996,-2.8,-4.418987367153168,-22.96308376789093,-8.811953535440983,-2.938747955227446,-5.872738147390216,-32.61582657665097,-2.214153928378512,-0.357492764175664,-0.40039189587674373,0.0
-34.902012,54,2.056008,54.0,-44.17290091245745,16.186576073883117,18.324231444487346,0.3,-4.279999999999999,-4.374531166553498,-21.561327064037325,-8.775225978612088,-2.384937799814468,-5.308798138405689,-30.831772514587794,-2.0233264234638155,-0.3463385426133845,-0.3740456260224553,0.0
-42.790745,55,2.136175,55.0,-51.32722212970921,15.572295048837624,18.09115587108093,0.75,-3.4899999999999993,-4.5346753215789795,-22.538139307498934,-8.536774540088523,-2.370434341784191,-7.3194964256528845,-29.97293633707888,-2.114517654339497,-0.3425466066203936,-0.376801267282433,0.0
