#{"t_start": 1783132136.9877267, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_ctrl,rc_action_rate,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist
-18.967197,50,1.744717,50.0,-46.349827839128835,13.153528714623441,15.131299130121363,-3.6825370693206785,-19.447942090034484,-6.444166092832818,-19.462506570627802,-1.8650449754485452,-0.34276381918840043,-0.34276381918840043
-20.354586,40,1.819163,40.0,-28.32633816218435,11.633441916857516,13.401102018239301,-3.354273924827576,-15.437355935573574,-3.4826561441144914,-32.96690264889705,-1.821602698623002,-0.26208974933997403,-0.20967179947197923
-15.641771,62,1.932536,62.0,-38.332613298552424,16.541437252392477,20.330912743959793,-4.808188037872315,-24.899031072854992,-5.366874405016102,-38.83736675994994,-2.270047671388168,-0.3116721992102953,-0.3864735270207662
-20.998948,47,2.017702,47.0,-45.716595592098564,12.512005411005028,14.575870141671574,-3.3689078140258797,-16.57036876678466,-5.671202237655446,-21.942213112106128,-1.8175363075439708,-0.40874352151307947,-0.3842189102222947
-9.79975,46,2.099108,46.0,-38.98386269697436,13.194674247178362,14.667363385100657,-3.4326775836944576,-15.367181587219237,-4.8612807352278065,-18.987141757676024,-2.0296432435881973,-0.32875174551832087,-0.3024516058768552
-19.980865,54,2.194617,54.0,-52.132397252247365,16.083031941390846,17.296312183872253,-3.913098595142363,-17.963329762220386,-6.612036467194381,-24.64069665626266,-2.098650889453857,-0.31669244058312523,-0.34202783582977525
13.689746,59,2.304523,59.0,-21.515703195785065,17.789716224960557,18.54824096982383,-4.422051887512207,-21.9147472023964,-3.3715414206140104,-28.327604511478444,-2.096562761753092,-0.164147665292617,-0.19369424504528807
-14.958713,51,2.398036,51.0,-44.68404134937704,12.5232901190817,15.051853290731867,-3.309400730133056,-16.331511187553403,-4.7822315184525515,-22.85739695914343,-1.5692744979801458,-0.3361461830659715,-0.34286910672729093
-9.84004,52,2.491008,52.0,-47.20141403152581,15.495245927538566,17.303078983759637,-3.5750664114952087,-17.17239497303963,-5.196853018782244,-19.38148086696504,-2.1111553380503354,-0.3939930063998522,-0.4097527266558463
-46.777345,47,2.574188,47.0,-58.726771164006344,13.999471500881599,15.221217100138656,-3.4673858284950256,-17.978050875663765,-6.91089247550369,-34.19459353373371,-1.7203396617790225,-0.5148830832406538,-0.48399009824621464
